#{"t_start": 1707942103.8006618, "env_id": "None"}
r,l,t
142.0,142,189.253917
185.0,185,189.57132
174.0,174,191.283285
238.0,238,191.691511
137.0,137,191.927639
383.0,383,192.585144
71.0,71,192.706218
178.0,178,193.012304
142.0,142,193.256644
18.0,18,193.287645
142.0,142,193.53176
144.0,144,193.780139
87.0,87,193.930192
211.0,211,194.292423
280.0,280,217.355493
190.0,190,217.681806
170.0,170,217.975198
279.0,279,218.456515
147.0,147,218.709045
270.0,270,219.174437
219.0,219,219.551621
218.0,218,219.925983
198.0,198,220.267196
248.0,248,222.107256
148.0,148,222.363511
17.0,17,222.393512
260.0,260,222.841658
360.0,360,223.459874
249.0,249,223.889185
21.0,21,223.925185
189.0,189,224.249372
153.0,153,224.512018
101.0,101,224.686546
368.0,368,225.317878
194.0,194,247.954119
137.0,137,248.188658
150.0,150,248.445807
250.0,250,248.873183
192.0,192,249.200464
209.0,209,249.558611
221.0,221,249.937835
169.0,169,250.228019
147.0,147,250.479157
141.0,141,250.721403
187.0,187,251.041599
218.0,218,252.822023
423.0,423,253.545686
148.0,148,253.798963
234.0,234,254.200299
234.0,234,254.60146
157.0,157,254.870525
207.0,207,255.22464
439.0,439,255.979923
327.0,327,278.943237
441.0,441,279.701687
200.0,200,280.044937
388.0,388,280.710381
256.0,256,281.149656
404.0,404,281.840964
265.0,265,283.701403
428.0,428,284.436805
354.0,354,285.047092
346.0,346,285.64042
85.0,85,285.787533
381.0,381,286.442324
184.0,184,286.758676
