#{"t_start": 1705387259.651885, "env_id": "None"}
r,l,t
15.0,15,9.060811
46.0,46,9.060811
113.0,113,9.061809
55.0,55,9.067809
22.0,22,9.07181
38.0,38,9.072809
64.0,64,9.072809
12.0,12,9.073807
41.0,41,9.074807
16.0,16,9.089809
24.0,24,9.089809
29.0,29,9.089809
35.0,35,9.095809
22.0,22,9.109813
26.0,26,9.119811
49.0,49,9.121811
62.0,62,9.130319
48.0,48,9.135319
31.0,31,9.139319
19.0,19,9.139319
15.0,15,9.144318
65.0,65,9.150318
14.0,14,9.152318
86.0,86,9.153318
91.0,91,9.158318
11.0,11,9.162318
14.0,14,9.163317
33.0,33,9.165318
25.0,25,9.167318
34.0,34,9.171318
11.0,11,9.177318
14.0,14,9.177318
66.0,66,9.183317
11.0,11,9.188318
33.0,33,9.191318
39.0,39,9.192318
16.0,16,9.198318
26.0,26,9.215326
53.0,53,9.215326
19.0,19,9.216326
52.0,52,9.218326
47.0,47,9.222326
14.0,14,9.230839
21.0,21,9.236836
49.0,49,9.239836
54.0,54,9.240836
72.0,72,9.242836
33.0,33,9.247836
28.0,28,9.249835
17.0,17,9.256836
18.0,18,9.256836
46.0,46,9.262836
20.0,20,9.265836
33.0,33,9.278839
24.0,24,9.282839
35.0,35,9.285838
27.0,27,9.291839
38.0,38,9.291839
69.0,69,9.295839
17.0,17,9.299838
19.0,19,9.305837
75.0,75,9.305837
16.0,16,9.308837
25.0,25,9.312842
45.0,45,9.319843
10.0,10,9.321841
19.0,19,9.32598
38.0,38,9.332982
33.0,33,9.33398
102.0,102,9.33398
56.0,56,9.340981
23.0,23,9.340981
33.0,33,9.35098
19.0,19,9.35098
57.0,57,9.35498
28.0,28,9.35698
41.0,41,9.35998
36.0,36,9.36398
21.0,21,9.366982
34.0,34,9.367982
16.0,16,9.372981
11.0,11,9.376981
47.0,47,9.378981
30.0,30,9.380981
20.0,20,9.38398
15.0,15,9.390981
14.0,14,9.391979
53.0,53,9.395979
15.0,15,9.398981
45.0,45,9.40398
59.0,59,9.404981
10.0,10,9.406981
14.0,14,9.417987
15.0,15,9.419987
13.0,13,9.419987
46.0,46,9.423987
35.0,35,9.427011
15.0,15,9.442008
57.0,57,9.444008
75.0,75,9.461009
21.0,21,9.463009
28.0,28,9.46801
105.0,105,9.47001
55.0,55,9.471011
64.0,64,9.477008
18.0,18,9.479008
60.0,60,9.481008
18.0,18,9.481008
12.0,12,9.488008
10.0,10,9.490008
27.0,27,9.496008
19.0,19,9.497008
16.0,16,9.509008
46.0,46,9.512011
106.0,106,9.515011
10.0,10,9.519011
64.0,64,9.523011
52.0,52,9.524011
15.0,15,9.527527
49.0,49,9.528527
28.0,28,9.532527
18.0,18,9.535527
48.0,48,9.535527
18.0,18,9.546525
26.0,26,9.548526
21.0,21,9.548526
15.0,15,9.549524
12.0,12,9.556524
44.0,44,9.564523
91.0,91,9.568523
33.0,33,9.577524
56.0,56,9.581525
23.0,23,9.583525
62.0,62,9.601524
24.0,24,9.603524
43.0,43,9.606525
70.0,70,9.609532
34.0,34,9.615533
92.0,92,9.618531
70.0,70,9.619531
12.0,12,9.626045
21.0,21,9.626045
16.0,16,9.632045
38.0,38,9.636043
19.0,19,9.643044
51.0,51,9.651044
81.0,81,9.654043
20.0,20,9.657043
17.0,17,9.660042
27.0,27,9.682045
84.0,84,9.685044
37.0,37,9.688049
74.0,74,9.693043
14.0,14,9.702044
77.0,77,9.704044
63.0,63,9.709044
20.0,20,9.712048
74.0,74,9.720048
36.0,36,9.720048
42.0,42,9.723048
12.0,12,9.724553
25.0,25,9.728559
119.0,119,9.728559
13.0,13,9.736558
14.0,14,9.741559
21.0,21,9.743558
22.0,22,9.749557
22.0,22,9.77056
65.0,65,9.771559
58.0,58,9.775559
79.0,79,9.77756
13.0,13,9.781558
57.0,57,9.789559
76.0,76,9.791559
12.0,12,9.79256
21.0,21,9.79656
59.0,59,9.797558
66.0,66,9.803559
13.0,13,9.805559
16.0,16,9.813566
51.0,51,9.817567
32.0,32,9.819566
51.0,51,9.822566
31.0,31,9.826079
38.0,38,9.827078
25.0,25,9.828079
45.0,45,9.842079
26.0,26,9.844079
36.0,36,9.849079
30.0,30,9.851079
28.0,28,9.852079
20.0,20,9.869076
28.0,28,9.870076
58.0,58,9.871076
62.0,62,9.884079
38.0,38,9.888079
82.0,82,9.888079
36.0,36,9.902076
23.0,23,9.907076
72.0,72,9.908076
50.0,50,9.917079
18.0,18,9.91908
41.0,41,9.920079
80.0,80,9.924083
41.0,41,9.9256
18.0,18,9.9256
22.0,22,9.9306
67.0,67,9.9336
12.0,12,9.9376
17.0,17,9.9376
14.0,14,9.9396
11.0,11,9.9446
24.0,24,9.9476
33.0,33,9.951598
28.0,28,9.966599
39.0,39,9.968598
22.0,22,9.968598
20.0,20,9.971598
62.0,62,9.976598
44.0,44,9.978598
17.0,17,9.982598
26.0,26,9.992599
60.0,60,9.994599
64.0,64,10.004596
46.0,46,10.009599
27.0,27,10.009599
35.0,35,10.012599
43.0,43,10.0186
30.0,30,10.021599
17.0,17,10.026106
25.0,25,10.029106
37.0,37,10.030106
25.0,25,10.033107
13.0,13,10.033107
24.0,24,10.035108
14.0,14,10.041108
18.0,18,10.042108
22.0,22,10.05211
28.0,28,10.05411
16.0,16,10.05611
18.0,18,10.05711
45.0,45,10.05911
35.0,35,10.06511
13.0,13,10.069112
12.0,12,10.070113
22.0,22,16.018598
19.0,19,16.026103
128.0,128,16.032102
48.0,48,16.057106
80.0,80,16.071109
16.0,16,16.073104
106.0,106,16.077104
87.0,87,16.080105
67.0,67,16.083105
70.0,70,16.092104
35.0,35,16.104105
39.0,39,16.109105
101.0,101,16.125113
41.0,41,16.127136
52.0,52,16.156136
58.0,58,16.156136
163.0,163,16.164135
94.0,94,16.165134
49.0,49,16.171134
115.0,115,16.182136
30.0,30,16.184135
23.0,23,16.187135
26.0,26,16.189134
124.0,124,16.198136
31.0,31,16.212142
120.0,120,16.242165
90.0,90,16.260168
24.0,24,16.266168
85.0,85,16.267169
112.0,112,16.294168
49.0,49,16.313174
120.0,120,16.313174
146.0,146,16.329682
26.0,26,16.336682
154.0,154,16.354682
36.0,36,16.367684
64.0,64,16.368683
17.0,17,16.370683
117.0,117,16.370683
134.0,134,16.379686
23.0,23,16.386686
112.0,112,16.394686
258.0,258,16.394686
74.0,74,16.438204
57.0,57,16.446204
143.0,143,16.455204
76.0,76,16.456204
118.0,118,16.477204
48.0,48,16.482203
94.0,94,16.482203
131.0,131,16.501204
40.0,40,16.514209
165.0,165,16.523209
73.0,73,16.524208
22.0,22,16.542718
25.0,25,16.544718
72.0,72,16.546717
46.0,46,16.554716
126.0,126,16.562716
77.0,77,16.571718
137.0,137,16.586722
47.0,47,16.589721
48.0,48,16.592722
138.0,138,16.611727
72.0,72,16.61673
36.0,36,16.623726
51.0,51,16.659235
83.0,83,16.661234
29.0,29,16.688236
139.0,139,16.693233
119.0,119,16.694233
28.0,28,16.713241
126.0,126,16.72324
175.0,175,16.730753
197.0,197,16.735753
95.0,95,16.749755
29.0,29,16.757754
85.0,85,16.768754
64.0,64,16.780757
181.0,181,16.786754
121.0,121,16.797755
45.0,45,16.809754
36.0,36,16.813761
95.0,95,16.820762
87.0,87,16.827277
32.0,32,16.828277
136.0,136,16.836275
73.0,73,16.852276
37.0,37,16.860276
57.0,57,16.860276
12.0,12,16.871274
60.0,60,16.881276
