#{"t_start": 1705386979.1042128, "env_id": "None"}
r,l,t
22.0,22,14.912401
48.0,48,14.916407
24.0,24,14.926413
30.0,30,14.934412
58.0,58,14.94091
19.0,19,14.946914
11.0,11,14.946914
39.0,39,14.948914
57.0,57,14.950914
50.0,50,14.961916
18.0,18,14.962915
16.0,16,14.964915
26.0,26,14.969915
26.0,26,14.971916
17.0,17,14.977916
19.0,19,14.987918
27.0,27,14.989916
78.0,78,14.990916
113.0,113,14.991916
23.0,23,14.992915
22.0,22,14.997916
10.0,10,15.001915
15.0,15,15.002914
12.0,12,15.007914
52.0,52,15.009914
80.0,80,15.011914
11.0,11,15.011914
12.0,12,15.020916
22.0,22,15.024916
15.0,15,15.027921
38.0,38,15.027921
16.0,16,15.027921
20.0,20,15.029921
50.0,50,15.034921
17.0,17,15.043436
20.0,20,15.043436
24.0,24,15.052437
30.0,30,15.057435
23.0,23,15.058434
74.0,74,15.062434
14.0,14,15.071433
56.0,56,15.076433
29.0,29,15.081433
37.0,37,15.081433
19.0,19,15.081433
10.0,10,15.086433
32.0,32,15.090433
13.0,13,15.094433
17.0,17,15.098433
71.0,71,15.101433
21.0,21,15.102433
17.0,17,15.107433
13.0,13,15.107433
22.0,22,15.108433
41.0,41,15.112437
21.0,21,15.119437
23.0,23,15.125435
18.0,18,15.126441
24.0,24,15.127441
20.0,20,15.129443
90.0,90,15.135443
24.0,24,15.137443
32.0,32,15.140945
15.0,15,15.140945
23.0,23,15.14295
20.0,20,15.144949
20.0,20,15.145949
20.0,20,15.147949
22.0,22,15.153949
19.0,19,15.155948
15.0,15,15.155948
22.0,22,15.162949
29.0,29,15.163949
12.0,12,15.168949
34.0,34,15.17895
34.0,34,15.180952
45.0,45,15.18395
15.0,15,15.18395
38.0,38,15.191951
13.0,13,15.19295
13.0,13,15.19595
19.0,19,15.196951
18.0,18,15.200953
41.0,41,15.202952
17.0,17,15.208952
51.0,51,15.212951
23.0,23,15.217952
28.0,28,15.218952
66.0,66,15.221951
25.0,25,15.226959
29.0,29,15.228959
21.0,21,15.233958
39.0,39,15.234957
28.0,28,15.236959
18.0,18,15.240465
23.0,23,15.241472
23.0,23,15.242473
18.0,18,15.245473
20.0,20,15.255473
18.0,18,15.260473
25.0,25,15.267472
9.0,9,15.277469
32.0,32,15.278469
27.0,27,15.283469
53.0,53,15.283469
29.0,29,15.28947
8.0,8,15.290471
56.0,56,15.29547
63.0,63,15.29647
31.0,31,15.304471
31.0,31,15.30647
71.0,71,15.30647
13.0,13,15.30747
17.0,17,15.313469
36.0,36,15.317469
12.0,12,15.319473
15.0,15,15.322472
38.0,38,15.32748
20.0,20,15.32848
15.0,15,15.332479
19.0,19,15.338479
27.0,27,15.340986
16.0,16,15.343992
60.0,60,15.347993
11.0,11,15.35399
19.0,19,15.35899
32.0,32,15.35999
41.0,41,15.36299
13.0,13,15.366992
31.0,31,15.368991
22.0,22,15.369993
39.0,39,15.370991
16.0,16,15.374993
15.0,15,15.374993
14.0,14,15.38599
11.0,11,15.38799
12.0,12,15.38999
20.0,20,15.38999
18.0,18,15.38999
33.0,33,15.39799
14.0,14,15.40099
13.0,13,15.40299
14.0,14,15.40399
98.0,98,15.40499
17.0,17,15.40599
34.0,34,15.40699
10.0,10,15.41299
14.0,14,15.41299
18.0,18,15.414992
27.0,27,15.414992
21.0,21,15.424991
14.0,14,15.427997
21.0,21,15.431997
31.0,31,15.434997
26.0,26,15.438997
21.0,21,15.443507
15.0,15,15.444507
11.0,11,15.444507
50.0,50,15.447509
23.0,23,15.448509
45.0,45,15.453508
14.0,14,15.457509
23.0,23,15.468509
16.0,16,15.471509
28.0,28,15.478506
40.0,40,15.480505
38.0,38,15.481505
13.0,13,15.483506
90.0,90,15.486506
25.0,25,15.492506
65.0,65,15.505509
22.0,22,15.510509
77.0,77,15.512507
18.0,18,15.512507
21.0,21,15.524507
17.0,17,15.527513
21.0,21,15.529513
50.0,50,15.533514
57.0,57,15.536512
32.0,32,15.541016
16.0,16,15.544026
25.0,25,15.550024
24.0,24,15.555026
78.0,78,15.557024
22.0,22,15.557024
28.0,28,15.566025
94.0,94,15.568026
52.0,52,15.572026
20.0,20,15.573026
36.0,36,15.577024
33.0,33,15.580026
15.0,15,15.580026
18.0,18,15.585026
13.0,13,15.585026
24.0,24,15.600023
33.0,33,15.603023
32.0,32,15.612021
29.0,29,15.614021
16.0,16,15.616023
37.0,37,15.617022
66.0,66,15.619022
74.0,74,15.626029
18.0,18,15.628029
16.0,16,15.628029
32.0,32,15.633029
51.0,51,15.633029
21.0,21,15.634029
12.0,12,15.63903
13.0,13,15.63903
23.0,23,15.63903
31.0,31,15.645544
11.0,11,15.645544
18.0,18,15.651544
16.0,16,15.656543
18.0,18,15.657544
16.0,16,15.661543
19.0,19,15.664544
40.0,40,15.665544
18.0,18,15.669544
15.0,15,15.671542
15.0,15,15.672544
18.0,18,15.681544
15.0,15,15.682544
55.0,55,15.686544
11.0,11,15.691545
13.0,13,15.697542
17.0,17,15.697542
30.0,30,15.697542
31.0,31,15.699544
42.0,42,15.702544
71.0,71,15.706543
17.0,17,15.706543
11.0,11,15.707545
12.0,12,15.708544
16.0,16,15.714544
12.0,12,15.721545
23.0,23,15.72655
72.0,72,15.730551
20.0,20,15.730551
16.0,16,15.731551
22.0,22,15.747601
45.0,45,15.7526
57.0,57,15.7546
29.0,29,15.7586
12.0,12,15.7636
18.0,18,15.7646
45.0,45,15.7646
36.0,36,15.7666
39.0,39,15.7676
14.0,14,15.7676
11.0,11,15.7786
10.0,10,15.7786
21.0,21,15.7796
73.0,73,15.7806
24.0,24,15.792602
28.0,28,15.793602
14.0,14,15.794601
33.0,33,15.799602
12.0,12,15.806601
33.0,33,15.812606
35.0,35,15.815604
18.0,18,15.817604
14.0,14,15.820604
29.0,29,15.824604
61.0,61,15.826612
11.0,11,15.827612
11.0,11,15.831611
35.0,35,15.831611
20.0,20,15.83661
59.0,59,15.841116
13.0,13,15.844121
23.0,23,15.846122
16.0,16,15.847122
21.0,21,15.850122
19.0,19,15.85312
20.0,20,15.85912
17.0,17,15.85912
17.0,17,15.86212
41.0,41,15.867122
25.0,25,15.868123
23.0,23,15.870123
15.0,15,15.873122
52.0,52,15.875123
13.0,13,15.881124
11.0,11,15.888121
32.0,32,15.89012
30.0,30,15.89112
22.0,22,15.89212
41.0,41,15.89212
26.0,26,15.893124
19.0,19,15.912122
24.0,24,15.912122
31.0,31,15.913123
21.0,21,15.914121
25.0,25,15.917121
24.0,24,15.918122
46.0,46,15.920123
19.0,19,15.931124
15.0,15,15.931124
42.0,42,15.932125
21.0,21,15.932125
17.0,17,15.934127
26.0,26,15.938127
20.0,20,15.938127
14.0,14,15.94564
12.0,12,15.946641
23.0,23,15.95264
16.0,16,15.95364
27.0,27,15.956639
34.0,34,15.963641
11.0,11,15.966641
64.0,64,15.97164
