#{"t_start": 1706281260.8650422, "env_id": "None"}
r,l,t
-13.258563,1600,398.335124
-12.268296,1600,398.501171
-11.539582,1600,398.911262
-11.656094,1600,412.503347
8.161656,1600,412.683682
-5.5270176,1600,412.727683
-118.1266,67,412.836905
5.5692434,1600,413.138102
0.5896187,1600,413.46266
2.769722,1600,414.239466
11.535326,1600,414.404345
27.928583,1600,414.814425
6.847192,1600,416.106972
14.692772,1600,428.625696
5.5424347,1600,428.73222
21.80961,1600,429.02831
-112.89235,48,429.136832
9.641136,1600,429.359878
28.247728,1600,430.112194
14.529441,1600,430.281235
23.805237,1600,430.693313
31.886599,1600,431.990644
32.89467,1600,432.203691
22.295956,1600,432.312216
27.181742,1600,432.714286
-106.19913,67,432.863816
20.599407,1600,432.943331
28.256273,1600,446.083578
26.307764,1600,446.255093
41.513443,1600,446.657172
-93.01261,612,447.444342
-113.24154,66,447.595385
-78.835785,751,447.93194
50.6238,1600,447.95694
45.782635,1600,448.176494
58.227623,1600,448.284016
-122.03421,88,448.485051
-118.64574,84,448.671575
-115.470604,70,448.828199
30.228914,1600,448.843199
31.747072,1600,448.924721
-120.329025,93,449.047239
-74.33023,1173,462.628278
49.64042,1600,462.647278
-94.343216,648,462.879263
-67.64438,1213,463.050778
45.76722,1600,463.92331
-55.27393,1259,464.038828
67.87457,1600,464.139353
-124.53569,115,464.290384
53.164776,1600,464.854736
-124.44542,430,465.239053
32.679108,1600,466.158621
46.859367,1600,466.17613
79.23314,1600,466.40681
44.23424,1600,466.579846
68.5706,1600,479.787755
-74.515274,644,479.923275
55.82352,1600,480.01179
-82.34924,612,480.273827
45.254585,1600,480.733403
56.274246,1600,481.118479
-101.68391,148,481.444628
-83.22866,687,481.534736
-114.00607,45,481.629872
-111.14875,88,481.642872
-119.05748,155,481.981828
79.216415,1600,482.065834
-66.22374,989,482.129347
-99.452614,636,482.160348
-111.08125,82,482.173356
-105.27221,77,482.251863
69.600296,1600,482.318383
-102.87706,103,482.487418
-112.359924,63,482.624942
-90.163315,313,482.838984
82.78666,1600,483.378302
-95.951996,275,483.459812
117.8193,1600,496.294765
-55.2863,1037,496.918875
93.1536,1600,497.647505
86.089455,1600,498.175925
69.221596,1600,498.310962
49.700245,1600,498.618519
88.324776,1600,499.360893
78.327934,1600,499.447411
-33.462395,1301,499.809477
102.43174,1600,499.852478
-63.163292,600,500.778858
-86.4003,595,513.530224
72.88523,1600,513.579231
82.055725,1600,514.097137
82.88484,1600,514.234655
75.79887,1600,514.54321
91.93532,1600,515.275423
81.84111,1600,515.714773
85.833755,1600,516.680489
92.63999,1600,517.07098
99.28343,1600,517.126496
-125.41547,103,517.354531
130.5811,1600,517.648087
